result, oneway, oneway:bicycle, junction, cycleway, cycleway:left
with, 1, yes, roundabout, opposite_share_busway, yes
with, -1, yes, roundabout, opposite_share_busway, yes
both, , no, roundabout, opposite_share_busway, yes
both, yes, no, roundabout, opposite_share_busway, yes
both, no, no, roundabout, opposite_share_busway, yes
both, 1, no, roundabout, opposite_share_busway, yes
both, -1, no, roundabout, opposite_share_busway, yes
with, , 1, roundabout, opposite_share_busway, yes
with, yes, 1, roundabout, opposite_share_busway, yes
with, no, 1, roundabout, opposite_share_busway, yes
with, 1, 1, roundabout, opposite_share_busway, yes
with, -1, 1, roundabout, opposite_share_busway, yes
against, , -1, roundabout, opposite_share_busway, yes
against, yes, -1, roundabout, opposite_share_busway, yes
against, no, -1, roundabout, opposite_share_busway, yes
against, 1, -1, roundabout, opposite_share_busway, yes
against, -1, -1, roundabout, opposite_share_busway, yes
both, , , , opposite_track, yes
both, yes, , , opposite_track, yes
both, no, , , opposite_track, yes
both, 1, , , opposite_track, yes
both, -1, , , opposite_track, yes
with, , yes, , opposite_track, yes
with, yes, yes, , opposite_track, yes
with, no, yes, , opposite_track, yes
with, 1, yes, , opposite_track, yes
with, -1, yes, , opposite_track, yes
both, , no, , opposite_track, yes
both, yes, no, , opposite_track, yes
both, no, no, , opposite_track, yes
both, 1, no, , opposite_track, yes
both, -1, no, , opposite_track, yes
with, , 1, , opposite_track, yes
with, yes, 1, , opposite_track, yes
with, no, 1, , opposite_track, yes
with, 1, 1, , opposite_track, yes
with, -1, 1, , opposite_track, yes
against, , -1, , opposite_track, yes
against, yes, -1, , opposite_track, yes
against, no, -1, , opposite_track, yes
against, 1, -1, , opposite_track, yes
against, -1, -1, , opposite_track, yes
with, , , roundabout, opposite_track, yes
with, yes, , roundabout, opposite_track, yes
with, no, , roundabout, opposite_track, yes
with, 1, , roundabout, opposite_track, yes
with, -1, , roundabout, opposite_track, yes
with, , yes, roundabout, opposite_track, yes
with, yes, yes, roundabout, opposite_track, yes
with, no, yes, roundabout, opposite_track, yes
with, 1, yes, roundabout, opposite_track, yes
with, -1, yes, roundabout, opposite_track, yes
both, , no, roundabout, opposite_track, yes
both, yes, no, roundabout, opposite_track, yes
both, no, no, roundabout, opposite_track, yes
both, 1, no, roundabout, opposite_track, yes
both, -1, no, roundabout, opposite_track, yes
with, , 1, roundabout, opposite_track, yes
with, yes, 1, roundabout, opposite_track, yes
with, no, 1, roundabout, opposite_track, yes
with, 1, 1, roundabout, opposite_track, yes
with, -1, 1, roundabout, opposite_track, yes
against, , -1, roundabout, opposite_track, yes
against, yes, -1, roundabout, opposite_track, yes
against, no, -1, roundabout, opposite_track, yes
against, 1, -1, roundabout, opposite_track, yes
against, -1, -1, roundabout, opposite_track, yes
both, , , , , lane
both, yes, , , , lane
both, no, , , , lane
both, 1, , , , lane
both, -1, , , , lane
with, , yes, , , lane
with, yes, yes, , , lane
with, no, yes, , , lane
with, 1, yes, , , lane
with, -1, yes, , , lane
both, , no, , , lane
both, yes, no, , , lane
both, no, no, , , lane
both, 1, no, , , lane
both, -1, no, , , lane
with, , 1, , , lane
with, yes, 1, , , lane
with, no, 1, , , lane
with, 1, 1, , , lane
with, -1, 1, , , lane
against, , -1, , , lane
against, yes, -1, , , lane
against, no, -1, , , lane
against, 1, -1, , , lane
against, -1, -1, , , lane
with, , , roundabout, , lane
with, yes, , roundabout, , lane
with, no, , roundabout, , lane
with, 1, , roundabout, , lane
with, -1, , roundabout, , lane
with, , yes, roundabout, , lane
with, yes, yes, roundabout, , lane
with, no, yes, roundabout, , lane
with, 1, yes, roundabout, , lane
with, -1, yes, roundabout, , lane
both, , no, roundabout, , lane
both, yes, no, roundabout, , lane
both, no, no, roundabout, , lane
both, 1, no, roundabout, , lane
both, -1, no, roundabout, , lane
with, , 1, roundabout, , lane
with, yes, 1, roundabout, , lane
with, no, 1, roundabout, , lane
with, 1, 1, roundabout, , lane
with, -1, 1, roundabout, , lane
against, , -1, roundabout, , lane
against, yes, -1, roundabout, , lane
against, no, -1, roundabout, , lane
against, 1, -1, roundabout, , lane
against, -1, -1, roundabout, , lane
against, , , , right, lane
against, yes, , , right, lane
against, no, , , right, lane
against, 1, , , right, lane
against, -1, , , right, lane
with, , yes, , right, lane
with, yes, yes, , right, lane
with, no, yes, , right, lane
with, 1, yes, , right, lane
with, -1, yes, , right, lane
both, , no, , right, lane
both, yes, no, , right, lane
both, no, no, , right, lane
both, 1, no, , right, lane
both, -1, no, , right, lane
with, , 1, , right, lane
with, yes, 1, , right, lane
with, no, 1, , right, lane
with, 1, 1, , right, lane
with, -1, 1, , right, lane
against, , -1, , right, lane
against, yes, -1, , right, lane
against, no, -1, , right, lane
against, 1, -1, , right, lane
against, -1, -1, , right, lane
with, , , roundabout, right, lane
with, yes, , roundabout, right, lane
with, no, , roundabout, right, lane
with, 1, , roundabout, right, lane
with, -1, , roundabout, right, lane
with, , yes, roundabout, right, lane
with, yes, yes, roundabout, right, lane
with, no, yes, roundabout, right, lane
with, 1, yes, roundabout, right, lane
with, -1, yes, roundabout, right, lane
both, , no, roundabout, right, lane
both, yes, no, roundabout, right, lane
both, no, no, roundabout, right, lane
both, 1, no, roundabout, right, lane
both, -1, no, roundabout, right, lane
with, , 1, roundabout, right, lane
with, yes, 1, roundabout, right, lane
with, no, 1, roundabout, right, lane
with, 1, 1, roundabout, right, lane
with, -1, 1, roundabout, right, lane
against, , -1, roundabout, right, lane
against, yes, -1, roundabout, right, lane
against, no, -1, roundabout, right, lane
against, 1, -1, roundabout, right, lane
against, -1, -1, roundabout, right, lane
both, , , , opposite_lane, lane
both, yes, , , opposite_lane, lane
both, no, , , opposite_lane, lane
both, 1, , , opposite_lane, lane
both, -1, , , opposite_lane, lane
with, , yes, , opposite_lane, lane
with, yes, yes, , opposite_lane, lane
with, no, yes, , opposite_lane, lane
with, 1, yes, , opposite_lane, lane
with, -1, yes, , opposite_lane, lane
both, , no, , opposite_lane, lane
both, yes, no, , opposite_lane, lane
both, no, no, , opposite_lane, lane
both, 1, no, , opposite_lane, lane
both, -1, no, , opposite_lane, lane
with, , 1, , opposite_lane, lane
with, yes, 1, , opposite_lane, lane
with, no, 1, , opposite_lane, lane
with, 1, 1, , opposite_lane, lane
with, -1, 1, , opposite_lane, lane
against, , -1, , opposite_lane, lane
against, yes, -1, , opposite_lane, lane
against, no, -1, , opposite_lane, lane
against, 1, -1, , opposite_lane, lane
against, -1, -1, , opposite_lane, lane
with, , , roundabout, opposite_lane, lane
with, yes, , roundabout, opposite_lane, lane
with, no, , roundabout, opposite_lane, lane
with, 1, , roundabout, opposite_lane, lane
with, -1, , roundabout, opposite_lane, lane
with, , yes, roundabout, opposite_lane, lane
with, yes, yes, roundabout, opposite_lane, lane
with, no, yes, roundabout, opposite_lane, lane
with, 1, yes, roundabout, opposite_lane, lane
with, -1, yes, roundabout, opposite_lane, lane
both, , no, roundabout, opposite_lane, lane
both, yes, no, roundabout, opposite_lane, lane
both, no, no, roundabout, opposite_lane, lane
both, 1, no, roundabout, opposite_lane, lane
both, -1, no, roundabout, opposite_lane, lane
with, , 1, roundabout, opposite_lane, lane
with, yes, 1, roundabout, opposite_lane, lane
with, no, 1, roundabout, opposite_lane, lane
with, 1, 1, roundabout, opposite_lane, lane
with, -1, 1, roundabout, opposite_lane, lane
against, , -1, roundabout, opposite_lane, lane
against, yes, -1, roundabout, opposite_lane, lane
against, no, -1, roundabout, opposite_lane, lane
against, 1, -1, roundabout, opposite_lane, lane
against, -1, -1, roundabout, opposite_lane, lane
both, , , , opposite, lane
both, yes, , , opposite, lane
both, no, , , opposite, lane
both, 1, , , opposite, lane
both, -1, , , opposite, lane
with, , yes, , opposite, lane
with, yes, yes, , opposite, lane
with, no, yes, , opposite, lane
with, 1, yes, , opposite, lane
with, -1, yes, , opposite, lane
both, , no, , opposite, lane
both, yes, no, , opposite, lane
both, no, no, , opposite, lane
both, 1, no, , opposite, lane
both, -1, no, , opposite, lane
with, , 1, , opposite, lane
with, yes, 1, , opposite, lane
with, no, 1, , opposite, lane
with, 1, 1, , opposite, lane
with, -1, 1, , opposite, lane
against, , -1, , opposite, lane
against, yes, -1, , opposite, lane
against, no, -1, , opposite, lane
against, 1, -1, , opposite, lane
against, -1, -1, , opposite, lane
with, , , roundabout, opposite, lane
with, yes, , roundabout, opposite, lane
with, no, , roundabout, opposite, lane
with, 1, , roundabout, opposite, lane
with, -1, , roundabout, opposite, lane
with, , yes, roundabout, opposite, lane
with, yes, yes, roundabout, opposite, lane
with, no, yes, roundabout, opposite, lane
with, 1, yes, roundabout, opposite, lane
with, -1, yes, roundabout, opposite, lane
both, , no, roundabout, opposite, lane
both, yes, no, roundabout, opposite, lane
both, no, no, roundabout, opposite, lane
both, 1, no, roundabout, opposite, lane
both, -1, no, roundabout, opposite, lane
with, , 1, roundabout, opposite, lane
with, yes, 1, roundabout, opposite, lane
with, no, 1, roundabout, opposite, lane
with, 1, 1, roundabout, opposite, lane
with, -1, 1, roundabout, opposite, lane
against, , -1, roundabout, opposite, lane
against, yes, -1, roundabout, opposite, lane
against, no, -1, roundabout, opposite, lane
against, 1, -1, roundabout, opposite, lane
against, -1, -1, roundabout, opposite, lane
both, , , , opposite_share_busway, lane
both, yes, , , opposite_share_busway, lane
both, no, , , opposite_share_busway, lane
both, 1, , , opposite_share_busway, lane
both, -1, , , opposite_share_busway, lane
with, , yes, , opposite_share_busway, lane
with, yes, yes, , opposite_share_busway, lane
with, no, yes, , opposite_share_busway, lane
with, 1, yes, , opposite_share_busway, lane
with, -1, yes, , opposite_share_busway, lane
both, , no, , opposite_share_busway, lane
both, yes, no, , opposite_share_busway, lane
both, no, no, , opposite_share_busway, lane
both, 1, no, , opposite_share_busway, lane
both, -1, no, , opposite_share_busway, lane
with, , 1, , opposite_share_busway, lane
with, yes, 1, , opposite_share_busway, lane
with, no, 1, , opposite_share_busway, lane
with, 1, 1, , opposite_share_busway, lane
with, -1, 1, , opposite_share_busway, lane
against, , -1, , opposite_share_busway, lane
against, yes, -1, , opposite_share_busway, lane
against, no, -1, , opposite_share_busway, lane
against, 1, -1, , opposite_share_busway, lane
against, -1, -1, , opposite_share_busway, lane
with, , , roundabout, opposite_share_busway, lane
with, yes, , roundabout, opposite_share_busway, lane
with, no, , roundabout, opposite_share_busway, lane
with, 1, , roundabout, opposite_share_busway, lane
with, -1, , roundabout, opposite_share_busway, lane
with, , yes, roundabout, opposite_share_busway, lane
with, yes, yes, roundabout, opposite_share_busway, lane
with, no, yes, roundabout, opposite_share_busway, lane
with, 1, yes, roundabout, opposite_share_busway, lane
with, -1, yes, roundabout, opposite_share_busway, lane
both, , no, roundabout, opposite_share_busway, lane
both, yes, no, roundabout, opposite_share_busway, lane
both, no, no, roundabout, opposite_share_busway, lane
both, 1, no, roundabout, opposite_share_busway, lane
both, -1, no, roundabout, opposite_share_busway, lane
with, , 1, roundabout, opposite_share_busway, lane
with, yes, 1, roundabout, opposite_share_busway, lane
with, no, 1, roundabout, opposite_share_busway, lane
with, 1, 1, roundabout, opposite_share_busway, lane
with, -1, 1, roundabout, opposite_share_busway, lane
against, , -1, roundabout, opposite_share_busway, lane
against, yes, -1, roundabout, opposite_share_busway, lane
against, no, -1, roundabout, opposite_share_busway, lane
against, 1, -1, roundabout, opposite_share_busway, lane
against, -1, -1, roundabout, opposite_share_busway, lane
both, , , , opposite_track, lane
both, yes, , , opposite_track, lane
both, no, , , opposite_track, lane
both, 1, , , opposite_track, lane
both, -1, , , opposite_track, lane
with, , yes, , opposite_track, lane
with, yes, yes, , opposite_track, lane
with, no, yes, , opposite_track, lane
with, 1, yes, , opposite_track, lane
with, -1, yes, , opposite_track, lane
both, , no, , opposite_track, lane
both, yes, no, , opposite_track, lane
both, no, no, , opposite_track, lane
both, 1, no, , opposite_track, lane
both, -1, no, , opposite_track, lane
with, , 1, , opposite_track, lane
with, yes, 1, , opposite_track, lane
with, no, 1, , opposite_track, lane
with, 1, 1, , opposite_track, lane
with, -1, 1, , opposite_track, lane
against, , -1, , opposite_track, lane
against, yes, -1, , opposite_track, lane
against, no, -1, , opposite_track, lane
against, 1, -1, , opposite_track, lane
against, -1, -1, , opposite_track, lane
with, , , roundabout, opposite_track, lane
with, yes, , roundabout, opposite_track, lane
with, no, , roundabout, opposite_track, lane
with, 1, , roundabout, opposite_track, lane
with, -1, , roundabout, opposite_track, lane
with, , yes, roundabout, opposite_track, lane
with, yes, yes, roundabout, opposite_track, lane
with, no, yes, roundabout, opposite_track, lane
with, 1, yes, roundabout, opposite_track, lane
with, -1, yes, roundabout, opposite_track, lane
both, , no, roundabout, opposite_track, lane
both, yes, no, roundabout, opposite_track, lane
both, no, no, roundabout, opposite_track, lane
both, 1, no, roundabout, opposite_track, lane
both, -1, no, roundabout, opposite_track, lane
with, , 1, roundabout, opposite_track, lane
with, yes, 1, roundabout, opposite_track, lane
with, no, 1, roundabout, opposite_track, lane
with, 1, 1, roundabout, opposite_track, lane
with, -1, 1, roundabout, opposite_track, lane
against, , -1, roundabout, opposite_track, lane
against, yes, -1, roundabout, opposite_track, lane
against, no, -1, roundabout, opposite_track, lane
against, 1, -1, roundabout, opposite_track, lane
against, -1, -1, roundabout, opposite_track, lane
both, , , , , shared_lane
both, yes, , , , shared_lane
both, no, , , , shared_lane
both, 1, , , , shared_lane
both, -1, , , , shared_lane
with, , yes, , , shared_lane
with, yes, yes, , , shared_lane
with, no, yes, , , shared_lane
with, 1, yes, , , shared_lane
with, -1, yes, , , shared_lane
both, , no, , , shared_lane
both, yes, no, , , shared_lane
both, no, no, , , shared_lane
both, 1, no, , , shared_lane
both, -1, no, , , shared_lane
with, , 1, , , shared_lane
with, yes, 1, , , shared_lane
with, no, 1, , , shared_lane
with, 1, 1, , , shared_lane
with, -1, 1, , , shared_lane
against, , -1, , , shared_lane
against, yes, -1, , , shared_lane
against, no, -1, , , shared_lane
against, 1, -1, , , shared_lane
against, -1, -1, , , shared_lane
with, , , roundabout, , shared_lane
with, yes, , roundabout, , shared_lane
with, no, , roundabout, , shared_lane
with, 1, , roundabout, , shared_lane
with, -1, , roundabout, , shared_lane
with, , yes, roundabout, , shared_lane
with, yes, yes, roundabout, , shared_lane
with, no, yes, roundabout, , shared_lane
with, 1, yes, roundabout, , shared_lane
with, -1, yes, roundabout, , shared_lane
both, , no, roundabout, , shared_lane
both, yes, no, roundabout, , shared_lane
both, no, no, roundabout, , shared_lane
both, 1, no, roundabout, , shared_lane
both, -1, no, roundabout, , shared_lane
with, , 1, roundabout, , shared_lane
with, yes, 1, roundabout, , shared_lane
with, no, 1, roundabout, , shared_lane
with, 1, 1, roundabout, , shared_lane
with, -1, 1, roundabout, , shared_lane
against, , -1, roundabout, , shared_lane
against, yes, -1, roundabout, , shared_lane
against, no, -1, roundabout, , shared_lane
against, 1, -1, roundabout, , shared_lane
against, -1, -1, roundabout, , shared_lane
against, , , , right, shared_lane
against, yes, , , right, shared_lane
against, no, , , right, shared_lane
against, 1, , , right, shared_lane
against, -1, , , right, shared_lane
with, , yes, , right, shared_lane
with, yes, yes, , right, shared_lane
with, no, yes, , right, shared_lane
with, 1, yes, , right, shared_lane
with, -1, yes, , right, shared_lane
both, , no, , right, shared_lane
both, yes, no, , right, shared_lane
both, no, no, , right, shared_lane
both, 1, no, , right, shared_lane
both, -1, no, , right, shared_lane
with, , 1, , right, shared_lane
with, yes, 1, , right, shared_lane
with, no, 1, , right, shared_lane
with, 1, 1, , right, shared_lane
with, -1, 1, , right, shared_lane
against, , -1, , right, shared_lane
against, yes, -1, , right, shared_lane
against, no, -1, , right, shared_lane
against, 1, -1, , right, shared_lane
against, -1, -1, , right, shared_lane
with, , , roundabout, right, shared_lane
with, yes, , roundabout, right, shared_lane
with, no, , roundabout, right, shared_lane
with, 1, , roundabout, right, shared_lane
with, -1, , roundabout, right, shared_lane
with, , yes, roundabout, right, shared_lane
with, yes, yes, roundabout, right, shared_lane
with, no, yes, roundabout, right, shared_lane
with, 1, yes, roundabout, right, shared_lane
with, -1, yes, roundabout, right, shared_lane
both, , no, roundabout, right, shared_lane
both, yes, no, roundabout, right, shared_lane
both, no, no, roundabout, right, shared_lane
both, 1, no, roundabout, right, shared_lane
both, -1, no, roundabout, right, shared_lane
with, , 1, roundabout, right, shared_lane
with, yes, 1, roundabout, right, shared_lane
with, no, 1, roundabout, right, shared_lane
with, 1, 1, roundabout, right, shared_lane
with, -1, 1, roundabout, right, shared_lane
against, , -1, roundabout, right, shared_lane
against, yes, -1, roundabout, right, shared_lane
against, no, -1, roundabout, right, shared_lane
against, 1, -1, roundabout, right, shared_lane
against, -1, -1, roundabout, right, shared_lane
both, , , , opposite_lane, shared_lane
both, yes, , , opposite_lane, shared_lane
both, no, , , opposite_lane, shared_lane
both, 1, , , opposite_lane, shared_lane
both, -1, , , opposite_lane, shared_lane
with, , yes, , opposite_lane, shared_lane
with, yes, yes, , opposite_lane, shared_lane
with, no, yes, , opposite_lane, shared_lane
with, 1, yes, , opposite_lane, shared_lane
with, -1, yes, , opposite_lane, shared_lane
both, , no, , opposite_lane, shared_lane
both, yes, no, , opposite_lane, shared_lane
both, no, no, , opposite_lane, shared_lane
both, 1, no, , opposite_lane, shared_lane
both, -1, no, , opposite_lane, shared_lane
with, , 1, , opposite_lane, shared_lane
with, yes, 1, , opposite_lane, shared_lane
with, no, 1, , opposite_lane, shared_lane
with, 1, 1, , opposite_lane, shared_lane
with, -1, 1, , opposite_lane, shared_lane
against, , -1, , opposite_lane, shared_lane
against, yes, -1, , opposite_lane, shared_lane
against, no, -1, , opposite_lane, shared_lane
against, 1, -1, , opposite_lane, shared_lane
against, -1, -1, , opposite_lane, shared_lane
with, , , roundabout, opposite_lane, shared_lane
with, yes, , roundabout, opposite_lane, shared_lane
with, no, , roundabout, opposite_lane, shared_lane
with, 1, , roundabout, opposite_lane, shared_lane
with, -1, , roundabout, opposite_lane, shared_lane
with, , yes, roundabout, opposite_lane, shared_lane
with, yes, yes, roundabout, opposite_lane, shared_lane
with, no, yes, roundabout, opposite_lane, shared_lane
with, 1, yes, roundabout, opposite_lane, shared_lane
with, -1, yes, roundabout, opposite_lane, shared_lane
both, , no, roundabout, opposite_lane, shared_lane
both, yes, no, roundabout, opposite_lane, shared_lane
both, no, no, roundabout, opposite_lane, shared_lane
both, 1, no, roundabout, opposite_lane, shared_lane
both, -1, no, roundabout, opposite_lane, shared_lane
with, , 1, roundabout, opposite_lane, shared_lane
with, yes, 1, roundabout, opposite_lane, shared_lane
with, no, 1, roundabout, opposite_lane, shared_lane
with, 1, 1, roundabout, opposite_lane, shared_lane
with, -1, 1, roundabout, opposite_lane, shared_lane
against, , -1, roundabout, opposite_lane, shared_lane
against, yes, -1, roundabout, opposite_lane, shared_lane
against, no, -1, roundabout, opposite_lane, shared_lane
against, 1, -1, roundabout, opposite_lane, shared_lane
against, -1, -1, roundabout, opposite_lane, shared_lane
both, , , , opposite, shared_lane
both, yes, , , opposite, shared_lane
both, no, , , opposite, shared_lane
both, 1, , , opposite, shared_lane
both, -1, , , opposite, shared_lane
with, , yes, , opposite, shared_lane
with, yes, yes, , opposite, shared_lane
with, no, yes, , opposite, shared_lane
with, 1, yes, , opposite, shared_lane
with, -1, yes, , opposite, shared_lane
both, , no, , opposite, shared_lane
both, yes, no, , opposite, shared_lane
both, no, no, , opposite, shared_lane
both, 1, no, , opposite, shared_lane
both, -1, no, , opposite, shared_lane
with, , 1, , opposite, shared_lane
with, yes, 1, , opposite, shared_lane
with, no, 1, , opposite, shared_lane
with, 1, 1, , opposite, shared_lane
with, -1, 1, , opposite, shared_lane
against, , -1, , opposite, shared_lane
against, yes, -1, , opposite, shared_lane
against, no, -1, , opposite, shared_lane
against, 1, -1, , opposite, shared_lane
against, -1, -1, , opposite, shared_lane
with, , , roundabout, opposite, shared_lane
with, yes, , roundabout, opposite, shared_lane
with, no, , roundabout, opposite, shared_lane
with, 1, , roundabout, opposite, shared_lane
with, -1, , roundabout, opposite, shared_lane
with, , yes, roundabout, opposite, shared_lane
with, yes, yes, roundabout, opposite, shared_lane
with, no, yes, roundabout, opposite, shared_lane
with, 1, yes, roundabout, opposite, shared_lane
with, -1, yes, roundabout, opposite, shared_lane
both, , no, roundabout, opposite, shared_lane
both, yes, no, roundabout, opposite, shared_lane
both, no, no, roundabout, opposite, shared_lane
both, 1, no, roundabout, opposite, shared_lane
both, -1, no, roundabout, opposite, shared_lane
with, , 1, roundabout, opposite, shared_lane
with, yes, 1, roundabout, opposite, shared_lane
with, no, 1, roundabout, opposite, shared_lane
with, 1, 1, roundabout, opposite, shared_lane
with, -1, 1, roundabout, opposite, shared_lane
against, , -1, roundabout, opposite, shared_lane
against, yes, -1, roundabout, opposite, shared_lane
against, no, -1, roundabout, opposite, shared_lane
against, 1, -1, roundabout, opposite, shared_lane
against, -1, -1, roundabout, opposite, shared_lane
both, , , , opposite_share_busway, shared_lane
both, yes, , , opposite_share_busway, shared_lane
both, no, , , opposite_share_busway, shared_lane
both, 1, , , opposite_share_busway, shared_lane
both, -1, , , opposite_share_busway, shared_lane
with, , yes, , opposite_share_busway, shared_lane
with, yes, yes, , opposite_share_busway, shared_lane
with, no, yes, , opposite_share_busway, shared_lane
with, 1, yes, , opposite_share_busway, shared_lane
with, -1, yes, , opposite_share_busway, shared_lane
both, , no, , opposite_share_busway, shared_lane
both, yes, no, , opposite_share_busway, shared_lane
both, no, no, , opposite_share_busway, shared_lane
both, 1, no, , opposite_share_busway, shared_lane
both, -1, no, , opposite_share_busway, shared_lane
with, , 1, , opposite_share_busway, shared_lane
with, yes, 1, , opposite_share_busway, shared_lane
with, no, 1, , opposite_share_busway, shared_lane
with, 1, 1, , opposite_share_busway, shared_lane
with, -1, 1, , opposite_share_busway, shared_lane
against, , -1, , opposite_share_busway, shared_lane
against, yes, -1, , opposite_share_busway, shared_lane
against, no, -1, , opposite_share_busway, shared_lane
against, 1, -1, , opposite_share_busway, shared_lane
against, -1, -1, , opposite_share_busway, shared_lane
with, , , roundabout, opposite_share_busway, shared_lane
with, yes, , roundabout, opposite_share_busway, shared_lane
with, no, , roundabout, opposite_share_busway, shared_lane
with, 1, , roundabout, opposite_share_busway, shared_lane
with, -1, , roundabout, opposite_share_busway, shared_lane
with, , yes, roundabout, opposite_share_busway, shared_lane
with, yes, yes, roundabout, opposite_share_busway, shared_lane
with, no, yes, roundabout, opposite_share_busway, shared_lane
with, 1, yes, roundabout, opposite_share_busway, shared_lane
with, -1, yes, roundabout, opposite_share_busway, shared_lane
both, , no, roundabout, opposite_share_busway, shared_lane
both, yes, no, roundabout, opposite_share_busway, shared_lane
both, no, no, roundabout, opposite_share_busway, shared_lane
both, 1, no, roundabout, opposite_share_busway, shared_lane
both, -1, no, roundabout, opposite_share_busway, shared_lane
with, , 1, roundabout, opposite_share_busway, shared_lane
with, yes, 1, roundabout, opposite_share_busway, shared_lane
with, no, 1, roundabout, opposite_share_busway, shared_lane
with, 1, 1, roundabout, opposite_share_busway, shared_lane
with, -1, 1, roundabout, opposite_share_busway, shared_lane
against, , -1, roundabout, opposite_share_busway, shared_lane
against, yes, -1, roundabout, opposite_share_busway, shared_lane
against, no, -1, roundabout, opposite_share_busway, shared_lane
against, 1, -1, roundabout, opposite_share_busway, shared_lane
against, -1, -1, roundabout, opposite_share_busway, shared_lane
both, , , , opposite_track, shared_lane
both, yes, , , opposite_track, shared_lane
both, no, , , opposite_track, shared_lane
both, 1, , , opposite_track, shared_lane
both, -1, , , opposite_track, shared_lane
with, , yes, , opposite_track, shared_lane
with, yes, yes, , opposite_track, shared_lane
with, no, yes, , opposite_track, shared_lane
with, 1, yes, , opposite_track, shared_lane
with, -1, yes, , opposite_track, shared_lane
both, , no, , opposite_track, shared_lane
both, yes, no, , opposite_track, shared_lane
both, no, no, , opposite_track, shared_lane
both, 1, no, , opposite_track, shared_lane
both, -1, no, , opposite_track, shared_lane
with, , 1, , opposite_track, shared_lane
with, yes, 1, , opposite_track, shared_lane
with, no, 1, , opposite_track, shared_lane
with, 1, 1, , opposite_track, shared_lane
with, -1, 1, , opposite_track, shared_lane
against, , -1, , opposite_track, shared_lane
against, yes, -1, , opposite_track, shared_lane
against, no, -1, , opposite_track, shared_lane
against, 1, -1, , opposite_track, shared_lane
against, -1, -1, , opposite_track, shared_lane
with, , , roundabout, opposite_track, shared_lane
with, yes, , roundabout, opposite_track, shared_lane
with, no, , roundabout, opposite_track, shared_lane
with, 1, , roundabout, opposite_track, shared_lane
with, -1, , roundabout, opposite_track, shared_lane
with, , yes, roundabout, opposite_track, shared_lane
with, yes, yes, roundabout, opposite_track, shared_lane
with, no, yes, roundabout, opposite_track, shared_lane
with, 1, yes, roundabout, opposite_track, shared_lane
with, -1, yes, roundabout, opposite_track, shared_lane
both, , no, roundabout, opposite_track, shared_lane
both, yes, no, roundabout, opposite_track, shared_lane
both, no, no, roundabout, opposite_track, shared_lane
both, 1, no, roundabout, opposite_track, shared_lane
both, -1, no, roundabout, opposite_track, shared_lane
with, , 1, roundabout, opposite_track, shared_lane
with, yes, 1, roundabout, opposite_track, shared_lane
with, no, 1, roundabout, opposite_track, shared_lane
with, 1, 1, roundabout, opposite_track, shared_lane
with, -1, 1, roundabout, opposite_track, shared_lane
against, , -1, roundabout, opposite_track, shared_lane
against, yes, -1, roundabout, opposite_track, shared_lane
against, no, -1, roundabout, opposite_track, shared_lane
against, 1, -1, roundabout, opposite_track, shared_lane
against, -1, -1, roundabout, opposite_track, shared_lane
both, , , , , share_busway
both, yes, , , , share_busway
both, no, , , , share_busway
both, 1, , , , share_busway
both, -1, , , , share_busway
with, , yes, , , share_busway
with, yes, yes, , , share_busway
with, no, yes, , , share_busway
with, 1, yes, , , share_busway
with, -1, yes, , , share_busway
both, , no, , , share_busway
both, yes, no, , , share_busway
both, no, no, , , share_busway
both, 1, no, , , share_busway
both, -1, no, , , share_busway
with, , 1, , , share_busway
with, yes, 1, , , share_busway
with, no, 1, , , share_busway
with, 1, 1, , , share_busway
with, -1, 1, , , share_busway
against, , -1, , , share_busway
against, yes, -1, , , share_busway
against, no, -1, , , share_busway
against, 1, -1, , , share_busway
against, -1, -1, , , share_busway
with, , , roundabout, , share_busway
with, yes, , roundabout, , share_busway
with, no, , roundabout, , share_busway
with, 1, , roundabout, , share_busway
with, -1, , roundabout, , share_busway
with, , yes, roundabout, , share_busway
with, yes, yes, roundabout, , share_busway
with, no, yes, roundabout, , share_busway
with, 1, yes, roundabout, , share_busway
with, -1, yes, roundabout, , share_busway
both, , no, roundabout, , share_busway
both, yes, no, roundabout, , share_busway
both, no, no, roundabout, , share_busway
both, 1, no, roundabout, , share_busway
both, -1, no, roundabout, , share_busway
with, , 1, roundabout, , share_busway
with, yes, 1, roundabout, , share_busway
with, no, 1, roundabout, , share_busway
with, 1, 1, roundabout, , share_busway
with, -1, 1, roundabout, , share_busway
against, , -1, roundabout, , share_busway
against, yes, -1, roundabout, , share_busway
against, no, -1, roundabout, , share_busway
against, 1, -1, roundabout, , share_busway
against, -1, -1, roundabout, , share_busway
against, , , , right, share_busway
against, yes, , , right, share_busway
against, no, , , right, share_busway
against, 1, , , right, share_busway
against, -1, , , right, share_busway
with, , yes, , right, share_busway
with, yes, yes, , right, share_busway
with, no, yes, , right, share_busway
with, 1, yes, , right, share_busway
with, -1, yes, , right, share_busway
both, , no, , right, share_busway
both, yes, no, , right, share_busway
both, no, no, , right, share_busway
both, 1, no, , right, share_busway
both, -1, no, , right, share_busway
with, , 1, , right, share_busway
with, yes, 1, , right, share_busway
with, no, 1, , right, share_busway
with, 1, 1, , right, share_busway
with, -1, 1, , right, share_busway
against, , -1, , right, share_busway
against, yes, -1, , right, share_busway
against, no, -1, , right, share_busway
